posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.40609,1.19237,-0.50070,-0.21040,0.37931,-0.40078,1.26793,0.22317,-0.17997,-0.68654,-0.40045,0.02815,0.16798,0.79162,0.14895,0.56828,23.30913,13.02659,0.79588
0.40285,1.19738,-0.50647,-0.21673,0.37509,-0.40448,1.43317,0.33962,-0.16013,-0.17764,-0.19200,-0.73175,0.17678,0.79212,0.15835,0.56234,12.15109,8.99426,-0.22431
0.39954,1.20260,-0.51243,-0.22253,0.37558,-0.41059,1.84423,0.67774,-0.07020,-0.40604,0.03555,-0.22106,0.18948,0.79534,0.17426,0.54879,29.50175,22.19193,7.03452
0.39656,1.20751,-0.51824,-0.22126,0.37058,-0.41209,1.80978,0.69640,-0.09540,-0.20789,-0.64544,0.82127,0.19797,0.79603,0.18247,0.54209,14.92761,14.20222,6.03181
0.39307,1.21237,-0.52417,-0.23014,0.36608,-0.41549,1.76491,0.75320,-0.13677,-1.12541,-0.19895,-0.56267,0.20676,0.79704,0.18916,0.53497,-7.64067,0.93747,-8.15855
0.38877,1.21741,-0.53036,-0.25035,0.36592,-0.42267,1.52908,0.72227,-0.10859,-1.43092,0.35937,-0.04053,0.21078,0.79830,0.19282,0.53020,-10.22509,1.61822,2.30269
0.38438,1.22280,-0.53662,-0.26713,0.37239,-0.42920,1.15101,0.59853,-0.08401,-1.15651,0.58074,-0.69891,0.21105,0.79910,0.19245,0.52902,-27.69342,-10.45694,2.80740
0.37985,1.22851,-0.54298,-0.28184,0.38262,-0.43585,0.96833,0.63233,-0.02855,-1.22676,1.13542,-0.93859,0.21257,0.80146,0.19410,0.52422,-21.90525,-3.04024,2.65680
0.37456,1.23487,-0.54927,-0.30626,0.40130,-0.43923,0.75663,0.67800,0.08544,-1.67170,1.29997,0.25852,0.21149,0.80499,0.19515,0.51882,-12.02030,4.50257,8.70302
0.36924,1.24139,-0.55512,-0.32534,0.41835,-0.43420,0.62262,0.66021,0.19662,-1.61133,1.48534,0.63595,0.20994,0.80767,0.19742,0.51441,-12.70043,-1.27585,8.20163
0.36361,1.24816,-0.56056,-0.34451,0.43509,-0.42361,0.47806,0.58479,0.29507,-1.69979,1.29773,1.22980,0.20693,0.80975,0.19924,0.51166,-10.18643,-4.36211,9.30287
0.35735,1.25521,-0.56525,-0.36975,0.45266,-0.40259,0.26552,0.39497,0.39985,-1.09243,0.66723,1.09828,0.20091,0.81057,0.19988,0.51250,-11.74889,-11.91940,6.88572
0.35170,1.26190,-0.57011,-0.37858,0.46007,-0.38952,0.22288,0.30896,0.43866,-0.47073,0.48869,0.67906,0.19807,0.81134,0.20231,0.51144,-8.34693,-9.98249,3.42960
0.34621,1.26858,-0.57491,-0.38254,0.46548,-0.37886,0.36135,0.33882,0.47996,-0.13886,0.36330,0.46191,0.19808,0.81257,0.20844,0.50700,5.29544,-1.36973,2.99831
0.34084,1.27565,-0.57930,-0.38340,0.47659,-0.36311,0.93337,0.61149,0.55668,0.07818,0.88796,0.68249,0.20519,0.81476,0.22439,0.49368,28.17789,14.47970,3.85164
0.33545,1.28306,-0.58370,-0.38456,0.49092,-0.35127,1.38157,0.83220,0.61448,-0.34580,1.51281,1.09740,0.21245,0.81663,0.24035,0.47981,36.56087,19.00567,3.85843
0.32971,1.29086,-0.58806,-0.39110,0.50758,-0.34206,1.63815,0.92383,0.67338,-0.98752,1.94341,1.36310,0.21787,0.81771,0.25544,0.46759,35.02116,17.09413,5.58180
0.32285,1.30024,-0.59218,-0.41574,0.54734,-0.33085,1.64001,0.81495,0.75413,-1.87795,2.51149,0.83459,0.21854,0.81768,0.26764,0.46044,2.19003,-5.08084,4.07144
0.31534,1.30991,-0.59648,-0.44667,0.58372,-0.32495,1.53573,0.53940,0.87274,-2.32397,2.97553,0.26195,0.21509,0.81610,0.27892,0.45817,-8.28093,-16.83340,2.67689
0.30744,1.32025,-0.60118,-0.47621,0.62284,-0.32759,1.27094,0.52458,0.93159,-1.87326,2.73326,-0.39245,0.21090,0.81833,0.28433,0.45278,-21.38018,-5.96306,7.60813
0.29924,1.33116,-0.60580,-0.50414,0.66242,-0.32795,1.34382,0.58053,1.00566,-1.74854,2.29080,-0.35098,0.21013,0.81931,0.29592,0.44385,2.28201,-0.23947,4.55511
0.29112,1.34184,-0.61047,-0.52443,0.68909,-0.32951,1.44890,0.70732,1.06344,-1.70695,2.19227,-0.03457,0.21069,0.82078,0.30819,0.43238,10.58737,10.63830,5.78471
0.28249,1.35315,-0.61524,-0.54816,0.71945,-0.33222,1.32930,0.70424,1.06962,-1.85167,2.07144,0.45930,0.20883,0.82235,0.31608,0.42453,-1.85271,4.42871,2.80180
0.27330,1.36498,-0.61980,-0.57633,0.75223,-0.33013,0.97110,0.48480,0.99439,-1.74829,2.00975,0.31816,0.20371,0.82307,0.31804,0.42416,-21.66264,-14.40083,-4.85216
0.26396,1.37687,-0.62417,-0.60052,0.77866,-0.32511,0.73662,0.33821,0.92423,-1.76087,1.67289,0.41570,0.19947,0.82364,0.32051,0.42321,-18.47850,-12.75091,-5.49283
0.25444,1.38856,-0.62837,-0.62129,0.79392,-0.31843,0.46035,0.05657,0.80041,-1.67729,1.17223,0.39871,0.19424,0.82256,0.32079,0.42750,-17.08969,-19.25944,-9.88489
0.24476,1.40075,-0.63218,-0.63913,0.81434,-0.30699,0.48799,0.12207,0.78191,-0.89504,0.95980,0.22848,0.19229,0.82324,0.32554,0.42346,-4.38575,1.88372,-0.47946
0.23531,1.41252,-0.63604,-0.64912,0.82261,-0.29955,0.67285,0.35609,0.80930,-0.62347,0.23276,0.82603,0.19325,0.82477,0.33383,0.41348,18.61465,17.55270,1.08221
0.22574,1.42383,-0.63975,-0.65832,0.82008,-0.29124,0.71520,0.36623,0.68321,-0.61518,-0.24729,0.22608,0.19484,0.82437,0.33891,0.40937,-1.94974,-0.47539,-5.01707
0.21618,1.43519,-0.64309,-0.66483,0.81894,-0.27805,1.06642,0.84304,0.68682,-0.47761,-0.41596,0.96081,0.20203,0.82675,0.34968,0.39165,19.12672,30.09740,3.49359
0.20673,1.44636,-0.64648,-0.66814,0.81483,-0.26935,1.22398,1.05158,0.65490,-0.27458,-0.42143,1.18746,0.20745,0.82794,0.35851,0.37810,19.17506,25.25648,-0.70947
0.19712,1.45751,-0.64908,-0.67354,0.81160,-0.24905,1.37898,1.29360,0.61968,-0.51757,-0.06504,1.64249,0.21446,0.82936,0.36750,0.36209,10.70060,17.76800,-1.61405
0.18701,1.46887,-0.65140,-0.68495,0.81082,-0.22796,1.42004,1.40027,0.63866,-0.94316,0.07517,1.67961,0.21870,0.83069,0.37564,0.34787,3.40652,8.02825,1.02655
0.17685,1.48025,-0.65362,-0.69544,0.81233,-0.21161,1.44484,1.46413,0.69367,-1.03268,0.29450,1.62231,0.22166,0.83193,0.38400,0.33362,1.77278,6.24332,3.21002
0.16612,1.49144,-0.65480,-0.71544,0.81381,-0.18014,1.54750,1.65004,0.82475,-1.07806,-0.06528,1.89031,0.22462,0.83381,0.39417,0.31455,5.79767,10.07682,7.52155
0.15544,1.50235,-0.65602,-0.72949,0.81063,-0.15352,1.58274,1.74776,0.89867,-0.93432,-0.33883,2.23871,0.22729,0.83521,0.40328,0.29685,5.35618,8.89861,6.75942
0.14488,1.51329,-0.65714,-0.73737,0.80751,-0.13331,1.53546,1.74107,0.91907,-0.69767,-0.35199,2.32995,0.22917,0.83630,0.41066,0.28185,-0.95938,3.16238,3.90772
0.13408,1.52400,-0.65718,-0.74702,0.80102,-0.10028,1.38944,1.66328,0.92614,-0.57403,-0.46391,2.13736,0.22933,0.83785,0.41570,0.26945,-8.58433,-5.24704,1.37135
0.12316,1.53440,-0.65703,-0.75691,0.79214,-0.06874,1.23149,1.54862,0.96334,-0.65786,-0.75396,1.86094,0.22775,0.83954,0.42025,0.25826,-9.32630,-8.46945,2.33038
0.11236,1.54488,-0.65727,-0.76171,0.78489,-0.05432,1.16725,1.51997,0.98507,-0.55941,-0.95116,1.72587,0.22736,0.84087,0.42550,0.24533,-9.65114,-7.33522,3.45683
0.10145,1.55424,-0.65594,-0.76654,0.76086,-0.01690,1.07244,1.50344,1.02384,-0.09216,-1.52254,1.89557,0.22600,0.84286,0.42964,0.23222,-4.03283,-0.90250,2.33179
0.09078,1.56336,-0.65474,-0.76627,0.73647,0.00878,1.03583,1.47365,1.00284,0.11740,-1.89909,1.79747,0.22602,0.84374,0.43440,0.21980,-3.18241,-2.33128,-0.02928
0.08030,1.57201,-0.65319,-0.76268,0.70929,0.03416,1.04508,1.46592,0.97329,0.32794,-1.95316,1.74414,0.22681,0.84402,0.43972,0.20695,-0.11011,-0.89838,-2.82174
0.06990,1.58054,-0.65140,-0.75873,0.68518,0.05520,1.07520,1.46960,0.94292,0.32539,-2.07134,1.69817,0.22808,0.84384,0.44539,0.19376,1.98305,0.77321,-2.80788
0.05955,1.58810,-0.64879,-0.75466,0.64913,0.08435,1.10935,1.44763,0.92270,0.16615,-1.99454,1.49549,0.22903,0.84321,0.45141,0.18104,1.83406,-1.11121,-1.87861
0.04914,1.59578,-0.64652,-0.75281,0.62427,0.10267,1.14148,1.45873,0.92358,0.17014,-2.17744,1.52410,0.22986,0.84258,0.45739,0.16736,2.60138,0.48115,-0.25683
0.03893,1.60242,-0.64382,-0.74894,0.58769,0.12606,1.14342,1.41229,0.90451,0.36752,-2.51593,1.46104,0.23030,0.84169,0.46304,0.15526,0.80013,-1.78451,-0.21363
0.02907,1.60869,-0.64114,-0.73936,0.55301,0.14335,1.13335,1.38398,0.84062,0.86655,-2.53691,1.03462,0.23183,0.84054,0.46806,0.14376,-1.13189,-3.93667,-3.85636
0.01969,1.61446,-0.63843,-0.72351,0.51855,0.15798,1.17965,1.40592,0.76975,1.22593,-2.35168,1.01776,0.23466,0.83861,0.47377,0.13118,0.71050,2.08210,-5.65757
0.01057,1.61992,-0.63615,-0.70789,0.48995,0.16692,1.16709,1.46766,0.71238,1.29156,-2.35507,0.64821,0.23792,0.83716,0.47816,0.11793,6.71287,1.02239,-6.18728
0.00194,1.62482,-0.63381,-0.68803,0.45918,0.17563,1.14877,1.53808,0.67053,1.44049,-2.18301,0.75086,0.24143,0.83587,0.48188,0.10404,-5.14953,8.12144,-1.87878
-0.00640,1.62909,-0.63119,-0.66670,0.42312,0.18485,1.08929,1.55999,0.63386,1.42406,-2.32767,0.68359,0.24441,0.83484,0.48475,0.09123,-2.97313,1.98463,-1.78134
-0.01468,1.63345,-0.62851,-0.64857,0.39689,0.19131,1.02302,1.53224,0.59932,1.66853,-2.18024,0.62896,0.24686,0.83380,0.48732,0.07972,-5.13737,-1.30505,-1.81969
-0.02250,1.63743,-0.62575,-0.62769,0.37127,0.19732,0.96346,1.50820,0.55197,1.80835,-2.13804,0.46436,0.24972,0.83265,0.48950,0.06873,-5.72666,-2.98361,-3.33144
-0.02944,1.64058,-0.62281,-0.59617,0.33712,0.20428,0.95001,1.56216,0.48173,2.05806,-2.09103,0.35892,0.25447,0.83085,0.49170,0.05629,-2.70629,2.48538,-4.34313
-0.03615,1.64357,-0.61988,-0.56726,0.30749,0.20954,0.92297,1.61073,0.42218,2.18262,-2.24448,0.53059,0.25940,0.82905,0.49343,0.04373,-0.44058,5.89689,-3.53153
-0.04272,1.64637,-0.61692,-0.54342,0.28235,0.21347,0.82855,1.53953,0.35436,2.11720,-2.17832,0.48705,0.26322,0.82789,0.49408,0.03468,-5.95478,-2.34785,-4.92279
-0.04851,1.64849,-0.61366,-0.51182,0.25114,0.21957,0.68583,1.38425,0.26812,1.91719,-1.75541,0.39846,0.26633,0.82733,0.49371,0.02915,-9.74387,-9.64765,-5.18160
-0.05443,1.65073,-0.61027,-0.48914,0.22878,0.22478,0.55573,1.23060,0.24989,1.54545,-1.50161,0.30735,0.26777,0.82731,0.49323,0.02391,-8.88321,-10.91347,-2.08960
-0.06027,1.65297,-0.60690,-0.47123,0.21208,0.22837,0.49029,1.14744,0.24208,1.47756,-1.20823,0.13013,0.26954,0.82690,0.49323,0.01761,-7.90523,-9.66919,-0.49330
-0.06542,1.65476,-0.60342,-0.44530,0.19153,0.23295,0.50225,1.15124,0.28691,1.27341,-0.97009,0.17139,0.27111,0.82596,0.49419,0.00860,-0.03045,-0.67947,1.61958
-0.07082,1.65666,-0.59992,-0.42908,0.17676,0.23647,0.54403,1.18310,0.35979,1.20619,-1.19773,0.23672,0.27221,0.82473,0.49570,-0.00198,4.32193,3.24341,4.90694
-0.07604,1.65824,-0.59644,-0.41377,0.16033,0.23869,0.53327,1.14251,0.42356,1.26028,-1.29029,0.16841,0.27219,0.82407,0.49668,-0.01091,0.95310,-1.14451,4.35692
-0.08102,1.65956,-0.59300,-0.39723,0.14278,0.23989,0.48131,1.05798,0.46403,1.30699,-1.45838,-0.01239,0.27155,0.82394,0.49705,-0.01816,-2.61028,-5.96906,3.65653
-0.08556,1.66044,-0.58962,-0.37533,0.12105,0.23946,0.40214,0.96345,0.46050,1.50916,-1.31449,-0.09455,0.27123,0.82412,0.49668,-0.02391,-5.35973,-6.60538,0.13089
-0.08993,1.66137,-0.58625,-0.35770,0.10639,0.23929,0.36286,0.90687,0.45517,1.51563,-1.20296,-0.06862,0.27119,0.82395,0.49665,-0.03013,-3.02179,-4.78267,-0.57551
-0.09399,1.66198,-0.58294,-0.33811,0.08999,0.23856,0.30999,0.83602,0.44226,1.40001,-1.17354,-0.09357,0.27095,0.82405,0.49627,-0.03535,-3.71894,-5.03128,-0.99348
-0.09795,1.66241,-0.57965,-0.32128,0.07439,0.23747,0.25665,0.75409,0.43325,1.16705,-1.10891,-0.17584,0.27031,0.82435,0.49578,-0.03982,-3.54424,-5.34124,-0.65283
-0.10167,1.66272,-0.57650,-0.30562,0.06083,0.23439,0.20757,0.71093,0.42624,1.09401,-0.82518,-0.37055,0.26991,0.82475,0.49492,-0.04459,-4.11731,-5.22397,-0.58754
-0.10528,1.66298,-0.57339,-0.28999,0.04940,0.23150,0.22570,0.75628,0.41358,1.08889,-0.79657,-0.26226,0.27069,0.82423,0.49470,-0.05147,0.04818,1.77802,-0.48251
-0.10870,1.66314,-0.57023,-0.27528,0.03894,0.23032,0.27453,0.82262,0.40492,1.11925,-0.70008,-0.03663,0.27187,0.82311,0.49502,-0.05941,3.05667,5.10876,-1.34031
-0.11191,1.66319,-0.56700,-0.26157,0.02966,0.23087,0.30673,0.84586,0.39110,1.04694,-0.67323,0.09682,0.27287,0.82198,0.49543,-0.06664,2.91420,3.31627,-0.95220
-0.11518,1.66328,-0.56381,-0.25058,0.02288,0.23134,0.29214,0.79338,0.38516,0.81516,-0.43684,0.03604,0.27282,0.82151,0.49549,-0.07200,0.00851,-2.68213,-0.27304
-0.11849,1.66342,-0.56063,-0.24379,0.01894,0.23144,0.26500,0.73848,0.41113,0.54114,-0.28712,-0.01118,0.27184,0.82152,0.49522,-0.07726,-1.88055,-4.83497,0.88032
-0.12166,1.66354,-0.55743,-0.23716,0.01602,0.23148,0.22061,0.65425,0.45139,0.44998,-0.09114,-0.01536,0.26980,0.82210,0.49467,-0.08162,-2.30754,-5.39628,2.59075
-0.12474,1.66381,-0.55409,-0.22907,0.01552,0.23379,0.25246,0.67428,0.47848,0.44499,0.13172,0.18768,0.26886,0.82158,0.49491,-0.08827,0.27500,-0.82707,1.62498
-0.12780,1.66411,-0.55053,-0.22373,0.01597,0.23969,0.36175,0.76093,0.50184,0.39493,0.08350,0.59961,0.26869,0.81963,0.49653,-0.09731,6.85867,6.11945,1.60988
-0.13072,1.66431,-0.54657,-0.21844,0.01487,0.25065,0.52500,0.86268,0.52721,0.47059,-0.18721,0.88305,0.26864,0.81637,0.49971,-0.10802,11.62156,8.10128,1.54991
-0.13352,1.66445,-0.54222,-0.21143,0.01261,0.26532,0.66242,0.87260,0.52535,0.61974,-0.22812,0.95371,0.26808,0.81284,0.50371,-0.11705,9.57613,2.68974,-0.24156
-0.13627,1.66459,-0.53804,-0.20654,0.01134,0.27355,0.70411,0.82708,0.51959,0.59040,-0.21501,0.76177,0.26698,0.81026,0.50672,-0.12425,6.22208,-2.79326,-0.93763
-0.13867,1.66471,-0.53358,-0.19682,0.01011,0.28429,0.75201,0.77792,0.49499,0.64783,-0.00765,0.61423,0.26607,0.80727,0.51028,-0.13088,3.06040,-3.54492,-1.78961
-0.14099,1.66497,-0.52897,-0.18778,0.01169,0.29539,0.79470,0.72991,0.49081,0.45666,0.15647,0.84468,0.26468,0.80428,0.51396,-0.13760,3.10995,-2.01463,-0.89630
-0.14354,1.66525,-0.52429,-0.18570,0.01348,0.30502,0.83042,0.67662,0.51389,0.09220,0.30324,1.10114,0.26236,0.80144,0.51773,-0.14427,2.54910,-4.72182,0.67465
-0.14718,1.66575,-0.51896,-0.19186,0.01837,0.32699,0.97222,0.60628,0.60856,-0.56160,0.43680,1.52717,0.25737,0.79749,0.52402,-0.15222,8.49350,-4.27075,4.40866
-0.15198,1.66634,-0.51340,-0.20578,0.02370,0.35163,1.13039,0.53552,0.74553,-0.51468,0.31192,1.49485,0.25044,0.79321,0.53115,-0.16116,10.54451,-4.14385,8.15501
-0.15617,1.66696,-0.50771,-0.21291,0.02870,0.37031,1.22255,0.45393,0.82419,-0.06748,0.25184,1.19138,0.24371,0.78917,0.53787,-0.16889,8.31934,-5.68781,6.22500
-0.15909,1.66755,-0.50186,-0.21198,0.03222,0.38272,1.26652,0.37930,0.85002,0.20838,0.20188,0.94378,0.23755,0.78522,0.54423,-0.17555,5.24772,-6.68201,2.29485
-0.16179,1.66811,-0.49582,-0.20765,0.03408,0.39523,1.33469,0.33520,0.85082,0.25872,0.06590,0.88938,0.23177,0.78044,0.55129,-0.18241,4.49807,-3.69336,0.28777
-0.16450,1.66857,-0.48949,-0.20435,0.03374,0.40988,1.41080,0.26056,0.87844,0.23778,-0.15013,0.98035,0.22465,0.77552,0.55893,-0.18897,5.49649,-3.55347,1.42462
-0.16720,1.66877,-0.48315,-0.20172,0.02883,0.42131,1.46104,0.14857,0.89185,0.24822,-0.52155,0.64877,0.21682,0.77082,0.56670,-0.19410,4.29498,-7.86281,0.98797
-0.16967,1.66882,-0.47701,-0.19549,0.02246,0.42607,1.49105,0.06436,0.88345,0.59143,-0.41913,-0.03119,0.20936,0.76603,0.57431,-0.19882,2.92170,-7.21608,-0.92955
-0.17159,1.66892,-0.47126,-0.18084,0.01861,0.42277,1.49789,0.10763,0.84681,1.21365,-0.24222,-0.52121,0.20421,0.76067,0.58099,-0.20525,1.09930,0.83676,-1.86326
-0.17291,1.66903,-0.46585,-0.15907,0.01601,0.41403,1.50759,0.23234,0.78377,1.71947,-0.13710,-0.76855,0.20122,0.75444,0.58731,-0.21307,-0.18745,7.42817,-3.68525
-0.17366,1.66916,-0.46065,-0.13256,0.01434,0.40397,1.50558,0.36925,0.72683,2.11322,-0.18688,-0.60714,0.19923,0.74790,0.59315,-0.22166,-0.04841,12.72008,-3.03053
-0.17401,1.66922,-0.45549,-0.10559,0.01178,0.39555,1.44156,0.32716,0.65129,2.21594,-0.32071,-0.45102,0.19599,0.74292,0.59869,-0.22634,-3.61512,1.60948,-4.12001
-0.17401,1.66927,-0.45031,-0.07923,0.00974,0.38963,1.29839,0.08665,0.56660,2.04510,-0.16886,-0.22548,0.19053,0.74057,0.60364,-0.22556,-8.34621,-13.52605,-7.45205
-0.17387,1.66937,-0.44496,-0.05718,0.00909,0.38844,1.15945,-0.18909,0.48537,1.85105,0.03056,0.08928,0.18396,0.73930,0.60850,-0.22207,-11.33064,-22.96719,-8.62958
-0.17293,1.66945,-0.43919,-0.02648,0.00829,0.39510,1.08449,-0.45010,0.38838,1.80824,0.07545,0.76369,0.17698,0.73766,0.61439,-0.21692,-5.51281,-18.18326,-7.42922
-0.17180,1.66943,-0.43285,0.00033,0.00580,0.41037,1.16502,-0.55976,0.33390,1.75559,-0.11152,1.35464,0.17022,0.73317,0.62240,-0.21474,2.93238,-9.84259,-5.39462
-0.17051,1.66923,-0.42600,0.02311,0.00077,0.43046,1.31918,-0.55442,0.32597,1.77395,-0.42384,1.99539,0.16364,0.72652,0.63165,-0.21541,10.67916,-2.36474,-1.90309
-0.16860,1.66846,-0.41790,0.05100,-0.01319,0.46792,1.65122,-0.56141,0.33134,1.77627,-1.23358,2.64646,0.15529,0.71592,0.64513,-0.21713,20.23778,1.35157,1.16493
-0.16679,1.66723,-0.40961,0.07025,-0.03177,0.49913,1.89446,-0.65738,0.30053,1.78347,-1.90653,2.69023,0.14601,0.70552,0.65892,-0.21623,21.64079,-4.22574,-0.11333
-0.16467,1.66538,-0.40083,0.08971,-0.05567,0.53014,2.12917,-0.81285,0.21967,1.72528,-2.16613,2.57639,0.13594,0.69394,0.67438,-0.21256,19.98347,-10.67395,-5.42660
-0.16165,1.66235,-0.39098,0.12034,-0.09464,0.57260,2.45291,-1.03781,0.05998,1.71011,-2.22019,2.13252,0.12487,0.67938,0.69332,-0.20532,19.00242,-11.95700,-9.68321
-0.15856,1.65938,-0.38146,0.14556,-0.12404,0.59993,2.67505,-1.17318,-0.07458,1.88806,-2.09060,1.74595,0.11481,0.66470,0.71105,-0.19849,17.50424,-7.65507,-9.07034
-0.15547,1.65655,-0.37217,0.16379,-0.14289,0.61613,2.79391,-1.29284,-0.20192,1.90901,-1.90937,1.49586,0.10512,0.65050,0.72773,-0.19032,14.88210,-9.08362,-11.62078
-0.15117,1.65264,-0.36203,0.19914,-0.17643,0.64323,3.00187,-1.50891,-0.45725,1.60309,-1.67879,1.15486,0.09523,0.63347,0.74726,-0.17675,11.25178,-9.22819,-14.41573
-0.14731,1.64896,-0.35240,0.21891,-0.19882,0.65567,3.14743,-1.55329,-0.55880,1.54526,-1.98255,0.86888,0.08586,0.61607,0.76493,-0.16727,12.40985,-5.05401,-9.70542
-0.14277,1.64431,-0.34254,0.24585,-0.23293,0.66877,3.37087,-1.50815,-0.67370,1.60558,-2.15397,0.81556,0.07804,0.59527,0.78386,-0.15853,13.69148,2.62128,-6.58200
-0.13800,1.63935,-0.33257,0.27068,-0.26450,0.68098,3.60634,-1.40571,-0.74556,1.78364,-2.41009,0.76311,0.07093,0.57224,0.80288,-0.15128,17.42010,6.32507,-2.59037
-0.13303,1.63401,-0.32259,0.29249,-0.29460,0.69003,3.81977,-1.30890,-0.82137,1.92841,-2.62084,0.76502,0.06448,0.54756,0.82179,-0.14384,17.48430,8.90581,-1.51295
-0.12718,1.62758,-0.31227,0.32463,-0.33667,0.70289,4.15445,-1.18919,-0.97481,2.11814,-2.76342,0.69939,0.05976,0.51777,0.84264,-0.13525,22.71452,7.74230,-5.88610
-0.12110,1.62071,-0.30184,0.35305,-0.37682,0.71465,4.48093,-1.00250,-0.99986,1.64996,-2.96780,0.86013,0.05538,0.48550,0.86277,-0.12980,22.81961,11.96279,-2.16732
-0.11517,1.61313,-0.29142,0.37127,-0.41900,0.72317,4.81822,-0.83261,-0.83019,1.14919,-3.77983,0.55955,0.04841,0.45043,0.88211,-0.12905,25.77446,10.36564,13.58710
-0.10924,1.60344,-0.28124,0.38470,-0.48879,0.72478,5.26514,-0.72176,-0.57525,0.63569,-5.14888,-0.39615,0.03848,0.41003,0.90178,-0.13112,27.69297,2.66680,19.71617
-0.10365,1.59243,-0.27182,0.38879,-0.56597,0.71232,5.61107,-0.78715,-0.52788,0.42530,-6.10660,-1.21361,0.02716,0.36891,0.92028,-0.12749,23.43485,-6.22502,8.17429
-0.09823,1.58036,-0.26301,0.38889,-0.64134,0.69227,5.99210,-0.90649,-0.71843,0.44182,-7.02330,-2.66531,0.01640,0.32360,0.93875,-0.11734,26.92514,-9.17128,-6.19107
-0.09326,1.56602,-0.25580,0.38084,-0.73688,0.64915,6.37041,-1.16835,-1.19392,-1.09891,-6.88961,-3.32052,0.00510,0.27474,0.95669,-0.09608,33.05086,-3.00761,-40.34882
-0.08893,1.54970,-0.25098,0.36345,-0.84534,0.57257,6.81869,-1.32456,-1.94840,-1.05231,-6.82573,-6.26278,-0.00218,0.22013,0.97326,-0.06557,30.93178,1.35108,-40.47894
-0.08484,1.53384,-0.24782,0.34599,-0.91838,0.48615,7.05329,-1.34046,-2.62413,-1.89815,-5.49329,-8.39545,-0.00582,0.16705,0.98540,-0.03247,30.22873,15.88655,-55.15533
-0.08160,1.51665,-0.24879,0.31767,-0.99663,0.34740,7.27178,-1.29201,-3.02797,-2.51900,-3.64242,-9.21533,-0.00912,0.11221,0.99364,-0.00194,18.24105,15.23084,-30.09848
-0.07861,1.50001,-0.25131,0.29163,-1.04656,0.21343,7.40864,-1.33542,-2.88631,-2.04726,-2.81517,-9.96316,-0.01814,0.05847,0.99798,0.01708,6.58996,-7.13237,5.50018
-0.07564,1.48380,-0.25525,0.27222,-1.07560,0.08992,7.58104,-1.38965,-2.54149,-1.88464,-1.54554,-10.33833,-0.02894,0.00243,0.99914,0.02957,14.70303,-11.43302,18.94509
-0.07315,1.46767,-0.26335,0.24906,-1.09507,-0.07682,7.69688,-1.61971,-2.01913,-1.08672,-0.76145,-10.81484,-0.04582,-0.05324,0.99690,0.03539,0.58847,-30.94670,24.95723
-0.07057,1.45266,-0.27296,0.23309,-1.09093,-0.23197,7.81833,-1.61390,-1.91632,-0.65148,1.00223,-12.20363,-0.05620,-0.10951,0.99122,0.04822,6.51931,-13.12880,12.12074
-0.06795,1.43872,-0.28303,0.22222,-1.06878,-0.35162,7.89302,-1.46440,-1.99927,-0.95712,3.04861,-12.47772,-0.06172,-0.16509,0.98217,0.06533,9.60690,8.88734,1.24128
-0.06591,1.42825,-0.30014,0.20385,-0.99069,-0.56442,8.09604,-1.20721,-1.93645,-1.18865,5.92163,-11.13992,-0.06269,-0.22415,0.96930,0.07921,12.94628,13.24171,8.88204
-0.06368,1.41897,-0.31531,0.19300,-0.91025,-0.69411,8.16536,-1.35223,-1.57032,-1.62752,8.35809,-9.77181,-0.07242,-0.28071,0.95340,0.08359,8.00132,-7.07452,18.34131
-0.06154,1.41136,-0.33068,0.18381,-0.82462,-0.79022,8.07747,-1.89616,-1.03393,-1.52552,9.92879,-8.38443,-0.09384,-0.33342,0.93485,0.07801,-5.53509,-47.85672,22.86253
-0.06036,1.41153,-0.34996,0.16000,-0.62494,-0.92980,7.15840,-4.07688,-0.18018,-1.45370,9.80325,-5.02764,-0.16272,-0.36516,0.91530,0.04907,-52.40724,-115.83000,-14.78951
-0.05889,1.40953,-0.36586,0.14659,-0.50604,-0.98184,6.44724,-5.39745,-0.08107,-0.23579,10.38259,-4.30158,-0.22277,-0.39385,0.89108,0.03522,-54.98367,-117.35680,-48.04972
-0.05701,1.41185,-0.38200,0.14435,-0.34260,-1.02455,5.57053,-6.23380,-0.31217,1.42539,12.71546,-3.24071,-0.28070,-0.41090,0.86695,0.02788,-49.68703,-64.55744,-58.76754
-0.05424,1.41634,-0.39763,0.15739,-0.18432,-1.04756,4.81940,-6.26437,-0.64172,2.20782,13.83440,-1.94833,-0.32311,-0.42345,0.84587,0.02818,-47.60466,-8.30840,-52.52765
-0.05054,1.42683,-0.41294,0.18319,0.03845,-1.05961,3.93358,-5.73173,-1.20042,1.90792,14.07650,-0.36787,-0.35411,-0.42531,0.83196,0.03934,-41.43094,41.78922,-42.19343
