posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.08010,0.61766,0.14351,0.10277,0.21145,0.31057,-1.48569,0.80712,-0.35514,0.75322,-0.30925,-0.13202,0.57069,-0.16240,0.14228,0.79227,5.85282,7.93376,-0.42444
0.08201,0.62136,0.14793,0.11292,0.21111,0.30876,-1.44523,0.83741,-0.27088,0.53916,0.10176,-0.15545,0.56440,-0.15587,0.13997,0.79848,2.81810,1.77922,4.91857
0.08382,0.62526,0.15243,0.11891,0.21485,0.30873,-1.42150,0.84221,-0.22664,0.30791,0.38743,0.05836,0.55762,-0.15012,0.13754,0.80474,1.77582,0.72245,3.70700
0.08557,0.62910,0.15699,0.12149,0.22017,0.31122,-1.38781,0.86646,-0.24821,0.09502,0.74172,0.34238,0.55098,-0.14486,0.13343,0.81094,2.66014,1.20333,1.08297
0.08735,0.63461,0.16224,0.12435,0.23901,0.32187,-1.35035,0.93549,-0.36701,0.18155,1.20203,0.74463,0.54429,-0.14018,0.12600,0.81745,2.20152,3.29538,-7.23387
0.08919,0.64122,0.16790,0.12778,0.26078,0.33583,-1.35807,1.01901,-0.45595,0.28297,1.60147,1.05783,0.53674,-0.13455,0.11834,0.82450,-0.55051,4.54415,-6.65389
0.09111,0.64692,0.17332,0.13063,0.27582,0.34522,-1.35899,1.08527,-0.52187,0.31677,1.87989,1.12032,0.52922,-0.12877,0.11047,0.83135,-0.74498,6.25298,-7.30061
0.09324,0.65424,0.17967,0.13724,0.31202,0.36740,-1.37391,1.16788,-0.64770,0.61005,1.87576,1.24094,0.52100,-0.12333,0.10003,0.83866,-0.94059,5.43955,-9.09866
0.09541,0.66152,0.18640,0.14383,0.34567,0.39247,-1.40785,1.09017,-0.57235,0.45874,2.10676,1.81294,0.51246,-0.11842,0.09623,0.84505,-1.75667,-2.96340,3.97499
0.09758,0.66906,0.19377,0.14796,0.38150,0.42444,-1.46550,0.95030,-0.46427,0.44042,3.00200,2.61113,0.50307,-0.11455,0.09503,0.85133,-2.98054,-8.64636,8.10439
0.10003,0.67793,0.20139,0.15569,0.42194,0.45159,-1.28777,0.71223,-0.32024,0.90009,4.22305,1.58688,0.49877,-0.11347,0.09654,0.85383,1.52358,-6.27891,12.74419
0.10311,0.69020,0.21146,0.17248,0.50515,0.51582,-1.63863,0.70380,-0.33202,0.87687,6.39241,5.15580,0.48293,-0.10857,0.09466,0.86373,-13.66000,0.48704,9.69183
0.10696,0.70460,0.22286,0.19910,0.62109,0.58987,-2.03949,0.60893,-0.40346,2.42302,7.88714,4.44622,0.46285,-0.10637,0.09226,0.87518,-25.32026,-3.25045,-7.33467
0.11153,0.72063,0.23471,0.23350,0.73801,0.65385,-2.37970,0.44315,-0.35504,2.79162,8.54935,4.50964,0.44185,-0.10487,0.09386,0.88598,-25.63648,-10.37200,6.33942
0.11674,0.73721,0.24689,0.26948,0.83593,0.70778,-2.44354,0.28102,-0.27886,3.36510,8.17227,4.16995,0.42521,-0.10435,0.09629,0.89389,-17.07188,-11.31812,5.84167
0.12338,0.75621,0.26026,0.32060,0.95143,0.76837,-2.60865,0.05419,-0.28815,4.21550,8.34298,4.07184,0.40503,-0.10692,0.09886,0.90263,-9.12072,-11.75090,5.31990
0.13216,0.77895,0.27540,0.39877,1.08369,0.84682,-2.74605,-0.05056,-0.09202,5.38993,7.48262,8.16102,0.38564,-0.10577,0.10538,0.91049,9.92636,-15.15877,9.55615
0.14139,0.80146,0.29199,0.46456,1.18811,0.93187,-3.21034,0.03133,0.24971,6.28686,8.85060,4.78603,0.35689,-0.09638,0.11580,0.92192,-56.48633,19.46437,22.94024
0.15303,0.82661,0.30888,0.55501,1.31772,0.99997,-3.47346,0.03110,0.77504,6.64174,9.96863,4.46865,0.33090,-0.08572,0.13374,0.93020,-12.38608,4.29693,36.22844
0.16664,0.85678,0.32638,0.65989,1.49181,1.06298,-3.86356,0.09303,1.21782,6.39908,11.74687,3.54773,0.29977,-0.07251,0.15244,0.93896,-23.89476,7.62527,28.51333
0.17956,0.88562,0.34269,0.72575,1.61074,1.09110,-4.10089,0.18225,1.32813,6.40223,12.30942,2.12475,0.26914,-0.06076,0.16461,0.94698,-26.27298,9.43494,18.71036
0.19591,0.92040,0.35891,0.83334,1.80256,1.10940,-4.37204,0.39952,1.31354,6.85376,11.88122,0.14108,0.23581,-0.04550,0.17269,0.95525,-19.71457,10.56162,-2.21803
0.21361,0.95763,0.37369,0.94300,1.98635,1.09807,-4.52860,0.69398,1.37826,7.02275,11.12719,-1.71701,0.20443,-0.02642,0.18123,0.96160,-11.77888,16.46457,-2.58843
0.22980,0.99138,0.38781,0.99653,2.07591,1.08014,-4.61405,0.85015,1.48467,6.86911,10.97404,-2.75051,0.17352,-0.00844,0.19183,0.96593,-10.54814,19.81828,2.31554
0.25044,1.03341,0.39855,1.11162,2.27342,1.01028,-4.81052,1.25572,1.61820,5.80299,11.12255,-5.16889,0.13986,0.01893,0.20181,0.96920,-13.58858,24.47904,5.95886
0.27101,1.07610,0.40680,1.20434,2.44204,0.91033,-4.94314,1.60568,1.51180,5.64378,9.97190,-7.46076,0.10673,0.04515,0.20546,0.97178,-11.17846,17.75311,-12.40660
0.29012,1.11531,0.41561,1.24620,2.51884,0.84742,-5.01134,1.78190,1.46173,4.98684,9.15651,-8.38293,0.07394,0.06921,0.21025,0.97239,-11.89591,18.62450,-11.32052
0.31212,1.16065,0.41647,1.32708,2.67808,0.66366,-5.09866,2.13479,1.34163,3.25978,6.70736,-10.45944,0.04114,0.09929,0.21115,0.97153,-7.09546,15.17152,-10.75652
0.33247,1.20302,0.41722,1.36341,2.75856,0.51353,-5.05819,2.26336,1.18486,1.90670,4.85938,-11.36627,0.01075,0.12428,0.21124,0.96944,-1.38399,8.46110,-11.92394
0.35222,1.24517,0.41540,1.38009,2.81608,0.35592,-4.94103,2.30207,1.08530,0.73982,3.31896,-11.74436,-0.01750,0.14713,0.21187,0.96600,5.61753,0.88467,-12.90193
0.37132,1.28665,0.41096,1.37959,2.85564,0.18831,-4.82932,2.32928,1.20342,-0.12121,2.11149,-12.33181,-0.04544,0.16997,0.21756,0.96006,8.87128,1.64625,1.40215
0.38984,1.32776,0.40514,1.36911,2.87864,0.04046,-4.77330,2.47070,1.51013,-0.97903,1.58878,-12.33712,-0.07401,0.19623,0.22885,0.95060,8.77739,13.07109,16.48279
0.40733,1.36893,0.39550,1.34335,2.89667,-0.13478,-4.71465,2.69581,1.87981,-2.59651,1.00691,-12.94052,-0.10189,0.22541,0.24383,0.93774,5.22261,25.64990,21.58539
0.42320,1.40967,0.38184,1.29468,2.90469,-0.34056,-4.68941,2.85550,2.09093,-4.00631,0.11843,-12.92437,-0.13010,0.25366,0.25641,0.92357,2.80729,15.50821,12.02833
0.43816,1.44980,0.36850,1.24215,2.90052,-0.49077,-4.64255,2.86857,2.11503,-5.22666,-0.78329,-12.59304,-0.15749,0.27837,0.26490,0.90969,1.94226,6.50788,2.56427
