posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.53109,1.11467,-0.34332,-0.00114,0.04540,-0.03203,0.16771,0.06191,0.10205,0.02659,0.15421,-0.35134,-0.07037,0.63307,-0.17098,0.75169,-0.46565,0.35023,-0.03911
0.53112,1.11535,-0.34400,0.00002,0.04637,-0.03660,0.15896,0.06250,0.10177,0.20041,-0.03386,-0.44116,-0.07024,0.63348,-0.16989,0.75160,-2.50626,-1.14932,0.26824
0.53122,1.11605,-0.34486,0.00208,0.04675,-0.04273,0.19874,0.08403,0.09384,0.17282,-0.08231,-0.53415,-0.06903,0.63463,-0.16801,0.75117,1.62184,1.24077,-0.44444
0.53130,1.11663,-0.34593,0.00324,0.04547,-0.05096,0.33417,0.16294,0.10743,0.27187,-0.45064,-0.79208,-0.06623,0.63758,-0.16365,0.74988,6.45829,3.68261,1.30211
0.53168,1.11716,-0.34758,0.00995,0.04362,-0.06835,0.79487,0.50321,0.11881,0.77123,0.01116,-1.35003,-0.05721,0.64790,-0.15236,0.74414,24.98337,17.23706,0.00429
0.53210,1.11789,-0.34935,0.01521,0.04572,-0.08286,1.09702,0.77073,0.13681,0.47681,0.29739,-1.58341,-0.04926,0.65817,-0.14149,0.73781,30.41816,25.76182,2.06718
0.53271,1.11898,-0.35183,0.02236,0.05366,-0.10591,1.42545,1.06641,0.12944,0.03998,1.25125,-0.92172,-0.03897,0.67092,-0.12871,0.72923,24.95517,23.45430,0.31573
0.53347,1.12066,-0.35388,0.03065,0.07047,-0.11628,1.27403,0.88953,0.09717,0.23293,2.14865,-0.28791,-0.03500,0.67359,-0.12469,0.72767,-0.38191,-3.08028,-1.27691
0.53446,1.12285,-0.35596,0.04074,0.09172,-0.12455,0.87095,0.50927,0.05703,0.83732,2.04494,-0.90363,-0.03607,0.66971,-0.12721,0.73076,-30.11948,-28.79681,-5.03558
0.53582,1.12613,-0.35897,0.05456,0.12637,-0.14723,0.76915,0.31171,0.11198,1.79921,1.66896,-2.49464,-0.03507,0.66798,-0.12418,0.73290,-15.98188,-22.38331,2.20577
0.53600,1.12877,-0.36219,0.04369,0.14136,-0.16726,1.49686,0.03982,0.31834,-1.82566,-0.43866,-2.60090,-0.02004,0.66719,-0.10258,0.73752,24.13551,13.13853,11.72984
0.53699,1.13204,-0.36630,0.05113,0.16418,-0.19770,1.94107,0.63856,0.50858,6.36783,5.36257,-3.69995,-0.01021,0.68228,-0.08002,0.72663,76.76732,-20.29470,18.98294
0.54198,1.13882,-0.37199,0.12120,0.23962,-0.24681,2.44080,1.17379,0.37846,1.19187,3.70212,-2.63647,0.00831,0.69999,-0.06072,0.71152,24.91816,34.67730,-9.12111
0.54414,1.14516,-0.37814,0.12925,0.29244,-0.29514,2.36248,1.11694,0.38927,0.02529,5.37944,-3.44505,0.01665,0.70563,-0.04798,0.70676,12.45800,3.94539,1.36897
0.54659,1.15308,-0.38592,0.14064,0.35994,-0.35979,1.53319,0.64422,0.32112,0.67910,5.56932,-5.15432,0.01139,0.70114,-0.05251,0.71100,-51.60571,-30.14330,-5.78621
0.54882,1.16250,-0.39580,0.14486,0.43693,-0.44547,1.06337,0.52737,0.34479,0.96510,4.81469,-8.18983,0.00690,0.70138,-0.05281,0.71080,-53.42587,-26.42454,-0.49954
0.55027,1.17375,-0.40823,0.13420,0.52717,-0.55426,1.44447,1.15195,0.56361,-1.34470,6.73577,-8.24791,0.01243,0.71735,-0.03387,0.69578,19.96443,38.16685,13.12804
0.55034,1.18771,-0.42297,0.10205,0.64471,-0.67837,1.78427,1.72416,0.91747,-2.35856,8.15736,-7.28538,0.01528,0.73465,-0.00999,0.67820,23.95692,37.69427,23.50100
0.55022,1.20219,-0.43694,0.07436,0.74178,-0.75909,1.84408,1.93350,1.17992,-2.94630,8.56973,-5.82010,0.01456,0.74685,0.00984,0.66476,13.86187,25.10089,24.46020
0.54903,1.21981,-0.45229,0.03436,0.87018,-0.84423,1.60815,1.77517,1.43522,-2.68398,8.02568,-4.49239,0.00743,0.75269,0.02511,0.65785,-10.56021,-8.89288,17.49435
0.54760,1.23800,-0.46721,-0.00061,0.97893,-0.90165,1.54530,1.59877,1.62606,-2.44176,7.17323,-4.33971,0.00249,0.75707,0.04225,0.65196,-9.75743,-19.32469,11.81750
0.54512,1.25784,-0.48288,-0.04883,1.09361,-0.96031,2.02399,1.82995,1.86608,-3.22714,6.68384,-3.85100,0.00527,0.76701,0.07162,0.63760,25.25550,10.71144,13.25530
0.54206,1.27734,-0.49836,-0.09428,1.17240,-1.00007,2.48025,2.14124,2.04900,-4.17739,6.43101,-3.13300,0.01002,0.77839,0.10326,0.61915,39.84590,28.11085,14.52974
0.53755,1.29823,-0.51441,-0.15286,1.25456,-1.03864,2.78320,2.38377,2.19642,-4.58516,5.66971,-2.05636,0.01390,0.78894,0.13444,0.59942,25.57641,23.07728,12.29541
0.53270,1.31904,-0.53008,-0.20416,1.31485,-1.06177,2.88222,2.50418,2.25286,-4.49096,4.74648,-1.46902,0.01650,0.79775,0.16179,0.58064,11.93176,11.67137,7.37275
0.52660,1.34066,-0.54560,-0.26447,1.37388,-1.07621,2.88570,2.57125,2.25350,-4.66452,4.00242,-0.48580,0.01871,0.80562,0.18664,0.56195,1.24083,6.90821,1.46818
0.51872,1.36287,-0.56059,-0.34158,1.42922,-1.07718,2.84641,2.60390,2.25733,-5.12356,2.99719,0.42761,0.02005,0.81253,0.21039,0.54325,-2.85241,1.19541,1.02475
0.51074,1.38439,-0.57490,-0.40153,1.45950,-1.06653,2.75741,2.56574,2.26119,-5.19157,2.21410,1.44712,0.02014,0.81808,0.23271,0.52554,-3.98403,0.91153,1.49928
