posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.24009,1.20220,-0.41564,-0.30543,0.36999,-0.25307,0.74079,0.89289,0.32985,-0.31261,0.36338,-0.05530,0.05315,0.80353,-0.03450,0.59188,19.68233,10.65306,-2.11788
0.23564,1.20762,-0.41929,-0.31018,0.37475,-0.25244,1.05834,0.95067,0.27184,-0.37292,0.32661,0.31579,0.06205,0.80890,-0.02222,0.58424,17.02776,4.45624,-4.16915
0.23119,1.21309,-0.42266,-0.31308,0.37906,-0.24903,1.21901,0.93691,0.25372,-0.35369,0.61833,0.53830,0.06845,0.81282,-0.01160,0.57837,18.37937,1.85726,-3.82942
0.22655,1.21897,-0.42598,-0.31879,0.38869,-0.24640,1.38380,0.80790,0.19943,-0.65356,0.80515,-0.29439,0.07686,0.81421,-0.00053,0.57546,10.18497,-5.81589,-4.46837
0.22180,1.22510,-0.43008,-0.32478,0.39991,-0.25482,1.44752,0.84357,0.15987,-0.31801,1.00856,-0.71787,0.08358,0.81806,0.00862,0.56897,7.64688,-6.50796,-2.66542
0.21701,1.23207,-0.43447,-0.33070,0.42163,-0.26586,1.30511,0.70342,0.11316,-0.55354,1.69002,-0.80443,0.08718,0.81869,0.01252,0.56744,-6.99132,-6.28971,-5.48068
0.21178,1.23905,-0.43897,-0.34129,0.43927,-0.27670,1.31751,0.70719,0.08922,-1.02320,1.14561,-1.28452,0.09254,0.82133,0.01972,0.56255,-8.65407,-7.70468,-0.79152
0.20585,1.24662,-0.44362,-0.36078,0.46263,-0.28639,1.51806,0.78927,0.05294,-1.31752,1.57593,-0.22566,0.10224,0.82524,0.03179,0.55454,13.65676,7.08986,-2.35422
0.19988,1.25441,-0.44795,-0.37628,0.48426,-0.29012,1.63147,0.77958,0.02423,-1.11572,1.65927,-0.17939,0.11095,0.82751,0.04276,0.54872,9.31401,-0.15165,-2.25078
0.19383,1.26247,-0.45248,-0.39133,0.50717,-0.29550,1.78336,0.79725,-0.01171,-1.09796,1.69781,-0.73967,0.12111,0.82984,0.05503,0.54191,8.78521,-0.43518,-2.55528
0.18741,1.27107,-0.45749,-0.40853,0.53307,-0.30602,1.94650,0.92692,-0.03842,-1.44029,2.08333,-0.68983,0.13214,0.83397,0.06824,0.53140,13.23539,9.17984,-2.29514
0.18042,1.28022,-0.46262,-0.42992,0.56112,-0.31693,2.02273,0.98811,-0.03008,-1.72791,2.10404,-0.64072,0.14127,0.83726,0.08060,0.52206,6.52680,5.71700,0.12697
0.17293,1.28986,-0.46769,-0.45440,0.59044,-0.32558,2.12663,1.05381,-0.01052,-1.88648,2.12023,-0.62557,0.15073,0.84045,0.09423,0.51190,5.67750,3.27585,1.39339
0.16489,1.29995,-0.47263,-0.48125,0.61961,-0.32999,2.33670,1.16453,0.02034,-1.97441,2.01714,-0.17308,0.16212,0.84392,0.11148,0.49908,13.63503,7.17525,2.58684
0.15653,1.31035,-0.47727,-0.50678,0.64698,-0.32984,2.52603,1.25085,0.04738,-1.83363,1.97395,0.29674,0.17379,0.84678,0.12941,0.48582,16.68616,7.25317,2.32435
0.14836,1.32057,-0.48199,-0.52627,0.66823,-0.32999,2.51590,1.23756,0.06939,-1.74086,1.89925,0.27132,0.18233,0.84855,0.14313,0.47563,5.96384,1.63221,1.34304
0.13937,1.33124,-0.48694,-0.55416,0.69180,-0.33210,2.32189,1.07840,0.05558,-2.45485,0.71761,-0.01823,0.18796,0.84851,0.15176,0.47082,-11.92680,-8.02460,2.70355
0.12995,1.34205,-0.49206,-0.58096,0.71163,-0.33811,2.20581,1.13532,0.05047,-0.63069,2.79547,-1.21327,0.19504,0.85095,0.16016,0.46065,-14.87476,-2.66581,-15.47839
0.12106,1.35392,-0.49717,-0.59522,0.74325,-0.34287,2.22995,1.34743,0.15189,-1.24557,1.86775,-0.00238,0.20120,0.85585,0.17293,0.44400,0.48186,15.64564,15.30790
0.11174,1.36573,-0.50188,-0.61229,0.76636,-0.34024,2.33257,1.47235,0.16122,-1.49176,1.41022,0.24161,0.21064,0.85869,0.18711,0.42810,7.33700,8.34100,2.83808
0.10187,1.37787,-0.50624,-0.63401,0.79044,-0.33354,2.57259,1.69437,0.14551,-1.32939,1.60371,0.55165,0.22355,0.86151,0.20435,0.40751,13.36664,13.33527,-0.26341
0.09226,1.38987,-0.51039,-0.64844,0.80844,-0.32473,2.69846,1.80960,0.13537,-1.31237,1.50194,1.25486,0.23506,0.86324,0.22013,0.38872,15.53026,13.88570,0.15851
0.08227,1.40222,-0.51416,-0.66487,0.82717,-0.31145,2.61818,1.78992,0.13174,-1.23053,1.36393,1.35779,0.24317,0.86439,0.23160,0.37425,-1.49893,1.48995,0.09916
0.07201,1.41473,-0.51756,-0.68311,0.84768,-0.29414,2.39411,1.69310,0.14608,-1.21266,1.40014,1.13277,0.24798,0.86559,0.23918,0.36340,-14.46457,-7.31517,1.44765
0.06183,1.42710,-0.52097,-0.69736,0.86381,-0.27960,2.28014,1.66222,0.17890,-1.34130,1.54379,1.22201,0.25324,0.86680,0.24840,0.35045,-11.52213,-4.11374,2.58987
0.05125,1.43992,-0.52406,-0.71310,0.88151,-0.26300,2.23400,1.67219,0.24179,-1.42563,1.64153,1.36823,0.25812,0.86809,0.25906,0.33569,-6.20559,-2.03775,5.04164
0.03993,1.45372,-0.52604,-0.73541,0.90719,-0.23637,2.32532,1.79133,0.33209,-1.49286,1.61320,1.65017,0.26410,0.86944,0.27287,0.31602,4.95710,5.09275,5.89170
0.02852,1.46743,-0.52758,-0.75500,0.92642,-0.20887,2.44276,1.94275,0.39891,-1.39403,1.19475,2.33024,0.27109,0.87037,0.28726,0.29403,9.43120,10.38457,5.77819
0.01721,1.48093,-0.52893,-0.76743,0.93647,-0.18507,2.47248,1.98942,0.43749,-1.31191,0.41830,2.83720,0.27707,0.87048,0.30012,0.27463,7.24833,9.01523,4.71933
0.00566,1.49405,-0.52871,-0.78255,0.94865,-0.13719,2.45641,1.99918,0.47301,-0.59443,0.64651,3.14213,0.28207,0.87034,0.31182,0.25634,0.59736,2.00744,2.58303
-0.00551,1.50644,-0.52868,-0.79034,0.95112,-0.09730,2.36632,1.93767,0.50293,-0.64195,0.14244,2.99762,0.28549,0.87001,0.32182,0.24084,-5.26278,-5.58716,2.32781
-0.01692,1.51894,-0.52750,-0.79827,0.95036,-0.04961,2.36995,1.95020,0.56000,-0.51208,0.09486,3.01631,0.28911,0.86931,0.33356,0.22238,-2.24206,-1.94682,3.48985
