posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.25000,1.15851,-0.19817,0.37462,0.06119,-0.03215,-1.30318,-0.83107,0.34960,0.74206,-0.41283,-0.37661,0.05778,-0.79114,0.06229,-0.60571,-0.29827,-5.81648,-5.20554
0.25598,1.15906,-0.19884,0.38585,0.05659,-0.03581,-1.22174,-0.86929,0.19768,0.81635,-0.47233,-0.30611,0.05912,-0.78646,0.06921,-0.61090,4.28534,-4.96849,-9.35412
0.26199,1.15958,-0.19944,0.39522,0.05264,-0.03765,-1.08585,-0.86162,0.03135,0.72867,-0.40246,-0.26207,0.05770,-0.78278,0.07506,-0.61506,10.50274,-1.63276,-11.76482
0.26800,1.16014,-0.20017,0.40221,0.05019,-0.04096,-0.81726,-0.74604,-0.20052,0.18364,-0.01918,-0.34349,0.05052,-0.78187,0.07852,-0.61642,16.96839,4.95176,-14.28331
0.27335,1.16096,-0.20099,0.39748,0.05217,-0.04529,-0.59012,-0.60208,-0.35375,-0.77386,0.47155,-0.30431,0.04402,-0.78204,0.08092,-0.61638,18.72063,9.70616,-12.68011
0.27802,1.16207,-0.20188,0.38407,0.05791,-0.04963,-0.48431,-0.52263,-0.38319,-1.44831,0.83511,-0.23916,0.04139,-0.78124,0.08346,-0.61725,12.31901,8.05285,-5.83018
0.28149,1.16357,-0.20285,0.35589,0.06817,-0.05413,-0.50112,-0.52400,-0.30047,-2.14429,0.81548,-0.11531,0.04357,-0.77870,0.08660,-0.61987,0.20478,1.54780,3.98540
0.28442,1.16512,-0.20368,0.32560,0.07654,-0.05599,-0.62568,-0.62097,-0.15176,-2.32459,0.63606,0.03766,0.05004,-0.77365,0.09114,-0.62502,-7.81771,-4.50253,9.36227
0.28694,1.16662,-0.20438,0.29592,0.08250,-0.05536,-0.78300,-0.78500,0.01849,-2.03598,0.27353,0.09155,0.05890,-0.76637,0.09626,-0.63241,-12.09498,-10.32405,12.32929
0.28929,1.16793,-0.20502,0.26934,0.08466,-0.05370,-0.86418,-0.91344,0.16839,-1.75760,-0.15005,-0.06394,0.06728,-0.75900,0.09993,-0.63985,-8.89023,-10.54931,11.43612
0.29146,1.16886,-0.20569,0.24543,0.08114,-0.05310,-0.81988,-0.93549,0.27844,-1.55215,-0.65995,-0.14030,0.07334,-0.75363,0.10076,-0.64537,0.11366,-3.12694,9.20613
0.29356,1.16929,-0.20644,0.22547,0.07090,-0.05369,-0.66003,-0.85930,0.33170,-1.17550,-1.09375,-0.21104,0.07610,-0.75078,0.09887,-0.64866,8.75272,3.88750,5.24613
0.29573,1.16924,-0.20728,0.21083,0.05552,-0.05538,-0.43720,-0.70483,0.32480,-0.90853,-1.31432,-0.17751,0.07580,-0.75044,0.09533,-0.64962,15.19841,10.60387,1.16953
0.29771,1.16749,-0.20816,0.19518,0.01401,-0.05762,-0.14184,-0.45801,0.21988,-0.41028,-1.84855,0.08904,0.07137,-0.75300,0.09084,-0.64780,10.83938,9.53136,-4.10922
0.30297,1.16599,-0.20969,0.19244,-0.01316,-0.05661,-0.07854,-0.38292,0.11426,-0.13968,-1.95490,0.14035,0.07037,-0.75064,0.09127,-0.65058,5.67301,5.41860,-7.05078
0.30564,1.16359,-0.21034,0.19163,-0.04522,-0.05440,-0.08335,-0.33719,-0.01414,-0.08797,-1.90042,0.30130,0.06794,-0.75015,0.09415,-0.65099,1.34658,3.72542,-7.79629
0.30836,1.16132,-0.21087,0.19201,-0.06882,-0.05090,-0.16932,-0.36313,-0.10545,-0.00737,-1.85291,0.44878,0.06745,-0.74795,0.09910,-0.65284,-4.58545,0.11098,-8.17385
0.31119,1.15849,-0.21118,0.19344,-0.09531,-0.04498,-0.32709,-0.44653,-0.19855,0.06460,-1.83371,0.53369,0.06823,-0.74398,0.10710,-0.65603,-10.43104,-5.14230,-7.34705
0.31411,1.15536,-0.21126,0.19514,-0.12065,-0.03688,-0.47953,-0.53522,-0.28338,0.13198,-1.80775,0.64360,0.06928,-0.73934,0.11608,-0.65962,-11.11943,-6.58371,-6.43211
0.31706,1.15213,-0.21122,0.19740,-0.14230,-0.02874,-0.58889,-0.60512,-0.35099,0.23089,-1.90025,0.69171,0.07006,-0.73466,0.12475,-0.66317,-10.23984,-6.22307,-5.88174
0.32020,1.14808,-0.21083,0.20226,-0.17103,-0.01746,-0.67745,-0.65486,-0.47350,0.40388,-1.78810,0.66233,0.06908,-0.73015,0.13504,-0.66623,-5.82207,-3.90283,-7.51151
0.32349,1.14380,-0.21030,0.20846,-0.19821,-0.00614,-0.72573,-0.66321,-0.59606,0.37263,-1.70064,0.74341,0.06707,-0.72650,0.14504,-0.66832,-2.54469,-0.97264,-7.56387
0.32677,1.13955,-0.20967,0.21380,-0.21990,0.00440,-0.74471,-0.67124,-0.69811,0.38110,-1.40977,0.71681,0.06458,-0.72283,0.15457,-0.67041,-1.91146,-1.65019,-7.35438
0.33008,1.13528,-0.20892,0.21758,-0.23749,0.01531,-0.70529,-0.63233,-0.77088,0.13184,-0.79476,0.62425,0.06129,-0.72037,0.16245,-0.67150,3.13332,2.26712,-4.91459
0.33323,1.13158,-0.20841,0.21848,-0.24298,0.02010,-0.67322,-0.59313,-0.78123,0.12462,-0.27855,0.32846,0.05918,-0.71800,0.16922,-0.67256,2.59924,2.08823,-3.43004
0.33629,1.12826,-0.20797,0.21771,-0.24187,0.02307,-0.56761,-0.48414,-0.73992,-0.08891,0.28901,0.08676,0.05686,-0.71784,0.17260,-0.67207,6.43814,6.64902,1.50741
0.33920,1.12532,-0.20759,0.21577,-0.23539,0.02437,-0.44413,-0.37389,-0.69673,-0.13733,0.58388,0.19721,0.05404,-0.71844,0.17470,-0.67112,8.92153,8.39184,3.56760
0.34239,1.12272,-0.20703,0.21813,-0.22543,0.02835,-0.32819,-0.33543,-0.67598,0.31697,0.84983,0.46236,0.05022,-0.71797,0.17676,-0.67138,8.41154,3.67097,2.21662
0.34605,1.12073,-0.20608,0.22698,-0.20870,0.03707,-0.16835,-0.35144,-0.70962,0.56197,1.14889,0.69416,0.04331,-0.71682,0.17843,-0.67264,9.94766,-0.82296,-1.29851
0.34986,1.11909,-0.20498,0.23601,-0.18989,0.04644,-0.04074,-0.42296,-0.76139,0.64937,1.65770,0.61275,0.03550,-0.71430,0.18082,-0.67514,9.31145,-4.68363,-2.68110
0.35370,1.11819,-0.20427,0.24355,-0.16445,0.04793,0.10057,-0.44190,-0.80895,0.65271,2.55738,-0.54460,0.02677,-0.71279,0.18232,-0.67673,8.76025,-6.12608,-4.13124
0.35703,1.11901,-0.20476,0.24217,-0.12009,0.03176,0.31260,-0.27835,-0.78328,-0.47468,3.76412,-1.81148,0.01824,-0.71607,0.17945,-0.67432,16.44023,7.60965,0.26863
0.35902,1.12204,-0.20699,0.22228,-0.05309,-0.00544,0.49659,0.00155,-0.61967,-1.70353,4.86645,-2.61081,0.01388,-0.72277,0.17272,-0.66901,14.33272,16.91120,9.23843
0.36039,1.12588,-0.20983,0.19719,0.01284,-0.04444,0.46316,0.17015,-0.45874,-2.07749,4.96044,-2.52369,0.01420,-0.72709,0.16989,-0.66504,2.55802,14.40786,14.54120
0.36165,1.13037,-0.21267,0.17593,0.07425,-0.07560,0.41108,0.21740,-0.14741,-1.74517,5.42276,-2.45699,0.01923,-0.72899,0.16373,-0.66438,-6.27786,3.73731,15.06554
0.36266,1.13654,-0.21611,0.15552,0.14608,-0.10830,0.55988,0.33110,0.15536,-1.87206,5.13934,-2.18941,0.02192,-0.73370,0.15102,-0.66211,9.63833,9.01712,28.28050
0.36287,1.14405,-0.22024,0.12740,0.22353,-0.14483,0.60770,0.31450,0.51273,-1.84319,4.65524,-2.48482,0.02833,-0.73523,0.13782,-0.66305,2.76858,-2.22210,21.98212
0.36312,1.15118,-0.22445,0.10567,0.28055,-0.17582,0.84243,0.44490,0.77542,-1.49386,4.35696,-2.96203,0.03046,-0.74083,0.12003,-0.66017,9.82303,2.28666,22.56194
0.36285,1.15962,-0.22960,0.08133,0.34290,-0.21324,1.26845,0.70781,1.03085,-1.85719,4.26927,-2.52670,0.02887,-0.75093,0.09445,-0.65296,31.48271,20.43144,19.06315
0.36231,1.16820,-0.23506,0.05791,0.39498,-0.24756,1.58393,0.87146,1.24008,-1.70892,3.34948,-2.28346,0.02777,-0.75922,0.06944,-0.64652,23.65004,13.33202,16.48318
0.36153,1.17731,-0.24085,0.03525,0.44536,-0.28031,2.05751,1.06299,1.38703,-1.25103,2.95476,-1.83983,0.02135,-0.76882,0.03923,-0.63791,28.02932,13.00010,10.07248
0.36094,1.18640,-0.24646,0.01933,0.48639,-0.30460,2.38103,1.14219,1.44041,-1.41741,3.08653,-1.50848,0.01418,-0.77596,0.01210,-0.63051,27.00565,10.97223,4.31210
0.36015,1.19554,-0.25238,0.00384,0.51893,-0.32806,2.38425,1.07927,1.48062,-1.58864,2.99650,-1.86310,0.01230,-0.77945,-0.00831,-0.62629,11.51585,-0.08053,2.08792
0.35859,1.20523,-0.25994,-0.01909,0.55318,-0.37044,2.01598,0.85371,1.48712,-1.55094,1.88947,-3.04553,0.01785,-0.77864,-0.01802,-0.62696,-19.39519,-16.73351,0.32205
0.35673,1.21442,-0.26841,-0.04211,0.57406,-0.41819,1.69469,0.75484,1.45870,-1.55985,1.00204,-3.94562,0.02334,-0.77959,-0.02617,-0.62531,-25.44282,-14.32443,-1.91766
0.35435,1.22342,-0.27789,-0.06790,0.58741,-0.47037,1.57184,0.87760,1.40214,-1.80106,0.50374,-3.90143,0.02520,-0.78496,-0.03738,-0.61791,-12.47896,4.39930,-1.72372
0.35160,1.23203,-0.28784,-0.09415,0.59319,-0.51892,1.52869,1.06231,1.29506,-2.01408,0.15821,-3.17587,0.02411,-0.79216,-0.04877,-0.60788,-5.07158,13.89628,-5.25547
