posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.16510,1.28114,-0.42494,0.21685,1.59003,-0.11379,0.89760,-0.06710,2.48779,-2.51149,7.70144,1.35421,0.30755,0.87824,0.26386,0.25395,-7.83440,-18.58898,16.24821
-0.16540,1.31130,-0.42428,0.16701,1.71012,-0.08057,1.35340,-0.02424,2.75008,-4.05861,7.51634,1.85717,0.29014,0.88060,0.28858,0.23893,24.92162,3.07827,16.96967
-0.16721,1.34153,-0.42330,0.10414,1.80919,-0.04894,1.82938,0.14159,2.99273,-5.01308,6.78603,2.56174,0.27351,0.88223,0.31505,0.21818,33.55575,16.04275,18.60201
-0.17003,1.37181,-0.42192,0.04039,1.88479,-0.01825,2.07420,0.23645,3.21135,-5.58292,5.73827,3.07803,0.25425,0.88386,0.33824,0.19936,24.81029,14.61975,19.20973
-0.17499,1.40281,-0.41965,-0.04092,1.95600,0.01875,2.05362,0.19873,3.43456,-6.00918,4.22549,2.99342,0.23040,0.88623,0.35647,0.18557,5.04210,-1.28514,17.38896
-0.18116,1.43327,-0.41699,-0.12397,2.00698,0.05431,1.86322,0.06998,3.59370,-5.97061,3.01108,2.57201,0.20463,0.88886,0.36991,0.17667,-10.12659,-12.67270,11.09408
-0.18692,1.46295,-0.41454,-0.18202,2.03270,0.07866,1.71657,-0.04155,3.66656,-5.88154,2.11727,2.35239,0.18009,0.89033,0.38278,0.16839,-11.28204,-15.63865,7.84914
-0.19593,1.49277,-0.41085,-0.27317,2.05540,0.11496,1.62415,-0.12395,3.71531,-5.83723,0.94230,1.81469,0.15585,0.89083,0.39574,0.15978,-7.13630,-11.24438,2.53216
-0.20569,1.52154,-0.40699,-0.36021,2.06158,0.14772,1.80229,0.04839,3.69672,-5.44323,0.07262,1.64028,0.13798,0.88863,0.41368,0.14199,7.00847,10.83836,0.93826
-0.21562,1.54990,-0.40345,-0.43310,2.05795,0.16951,1.93627,0.28756,3.67295,-5.19785,-0.64797,1.49202,0.12142,0.88620,0.43039,0.12108,7.23993,20.93167,0.60471
-0.22597,1.57778,-0.40018,-0.49544,2.04776,0.18245,1.88003,0.36138,3.64656,-5.11630,-1.28996,1.29288,0.10272,0.88456,0.44270,0.10499,-1.50129,12.38767,-0.52940
-0.23796,1.60469,-0.39694,-0.56860,2.02769,0.19260,1.67110,0.30229,3.59850,-5.38086,-1.73236,0.60821,0.08237,0.88407,0.45030,0.09413,-12.21962,-6.77609,-3.67441
