posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.01487,1.61388,-0.56695,-1.05902,0.71023,0.00203,0.95683,1.34684,1.31079,0.72646,-1.65921,1.82533,-0.25770,-0.88124,-0.39214,-0.05686,0.60621,-0.97414,-0.21145
0.00100,1.62230,-0.56579,-1.04716,0.68584,0.02588,0.98283,1.37370,1.25227,0.82029,-1.87291,1.62668,-0.25554,-0.88076,-0.39636,-0.04310,0.72061,0.88669,-3.99046
-0.01247,1.62998,-0.56415,-1.03122,0.65488,0.05040,0.99330,1.40515,1.16980,1.02180,-2.05332,1.53077,-0.25439,-0.87994,-0.40014,-0.02950,1.05744,3.06219,-4.98138
-0.02578,1.63729,-0.56247,-1.01753,0.62572,0.06911,0.95142,1.39262,1.11122,0.81359,-2.01930,1.24073,-0.25259,-0.87952,-0.40294,-0.01708,-2.51244,-0.47719,-4.70524
-0.03876,1.64399,-0.56070,-1.00268,0.59302,0.08593,0.90675,1.43953,1.08240,0.67642,-1.54868,0.72477,-0.25089,-0.87923,-0.40496,-0.00346,-3.43420,1.13104,-1.74216
-0.06596,1.65920,-0.55745,-0.99339,0.57379,0.09713,0.90444,1.52548,1.08297,0.79822,-1.66670,1.08465,-0.24683,-0.87765,-0.41004,0.02597,-0.45675,8.12499,0.13589
-0.07886,1.66545,-0.55450,-0.98075,0.54770,0.11850,0.84329,1.45556,1.11292,0.92596,-1.62846,1.80993,-0.24262,-0.87769,-0.41155,0.03789,-3.18912,-1.34693,1.16159
-0.09180,1.67153,-0.55103,-0.97086,0.52424,0.14451,0.78439,1.27889,1.16042,0.75843,-1.72350,1.94476,-0.23604,-0.87803,-0.41376,0.04637,-2.93541,-12.50593,3.38145
-0.10433,1.67707,-0.54697,-0.95611,0.49667,0.17401,0.76102,1.10418,1.17693,0.96823,-1.80090,1.64700,-0.22957,-0.87785,-0.41688,0.05382,-0.60798,-11.99348,1.02893
-0.11639,1.68223,-0.54299,-0.93717,0.46868,0.19701,0.74577,1.01006,1.14415,1.17077,-1.73988,1.14358,-0.22497,-0.87717,-0.41967,0.06196,-0.84734,-7.24060,-1.86128
-0.12808,1.68714,-0.53917,-0.91561,0.44176,0.21391,0.74786,1.05760,1.07119,1.36975,-1.63226,0.91799,-0.22313,-0.87572,-0.42190,0.07299,-0.83228,2.05554,-3.98153
-0.13940,1.69198,-0.53537,-0.89380,0.41993,0.22753,0.74872,1.12264,0.99143,1.66356,-1.55446,1.13017,-0.22228,-0.87393,-0.42390,0.08449,0.24055,5.93690,-5.47608
-0.15070,1.69675,-0.53128,-0.87618,0.40218,0.24255,0.72321,1.09299,0.94577,1.45325,-1.47850,1.56578,-0.22005,-0.87265,-0.42574,0.09387,-1.90065,0.88357,-4.70176
-0.16165,1.70103,-0.52639,-0.85730,0.38081,0.26904,0.70755,0.98358,0.93706,1.04857,-1.12711,1.82303,-0.21596,-0.87164,-0.42821,0.10119,-1.36971,-7.58366,-1.62541
-0.17251,1.70531,-0.52107,-0.84131,0.36371,0.29946,0.75401,0.89052,0.95411,0.85804,-0.99642,1.91159,-0.21099,-0.86996,-0.43216,0.10904,2.74452,-6.83798,0.37393
-0.18335,1.70959,-0.51561,-0.82780,0.35035,0.32416,0.83082,0.88796,0.95277,0.96738,-0.86880,1.58181,-0.20708,-0.86738,-0.43666,0.11876,4.74290,-1.75861,0.43481
